,제목,장르,년도,줄거리,평점,연령 등급
115,소년시절의 너,"드라마, 로맨스, 스릴러, 가족, 범죄",(2019),"시험만 잘 치면 멋진 인생을 살 수 있다고 가르치는 세상에서 기댈 곳 없이 세상에 내몰린 우등생 소녀 첸니엔과 양아치 소년 베이. 비슷한 상처와 외로움에 끌려 서로에게 의지하게 된 두 사람은 수능을 하루 앞둔 어느 날, 첸니엔의 삶을 뒤바꿔버릴 거대한 사건에 휘말리게 된다. 첸니엔만은 평범하고 행복하게 살길 바라는 베이는 그녀의 그림자가 되어 모든 것을 해결하기로 마음 먹는데…",7.5 (10k),15
116,아웃핏,"스릴러, 드라마, 범죄",(2022),시카고에 자리잡은 영국인 양복점 명장이 갱스터들과 엮이면서 겪게 되는 위험한 생존 게임을 다룬 영화,7.1 (49k),15+
117,액트 오브 킬링,"다큐멘터리, Made in Europe, 전쟁, 범죄, 역사",(2012),"1965년 인도네시아, 쿠데타 당시 군은 ‘반공’을 명분으로 100만 명이 넘는 공산주의자, 지식인, 중국인들을 비밀리에 살해했다. 40년의 세월이 흐른 현재, 대학살을 주도한 암살단의 주범 '안와르 콩고’는 국민영웅으로 추대 받으며 호화스런 생활을 누리고 있다. 그러던 어느 날, 자신들의 ‘위대한’ 살인의 업적을 영화로 만들자는 제안이 들어온다. “당신이 저지른 학살을, 다시 재연해보지 않겠습니까?” 대학살의 리더 안와르 콩고와 그의 친구들은 들뜬 맘으로 직접 시나리오를 쓰고 연기도 하며 자랑스럽게 살인의 재연에 몰두한다. 하지만 촬영이 진행되면서 대학살의 기억은 그들에게 낯선 공포와 악몽에 시달리게 하고, 영화는 예기치 못한 반전을 맞는다. 전대미문의 방법으로 인간의 도덕성을 뒤흔드는 충격의 다큐멘터리!",8.2 (39k),15
118,비포 선라이즈,"드라마, 로맨스, Made in Europe",(1995),"프랑스 파리의 소르본느 대학생인 셀린느는 헝가리 부다페스트에 사는 할머니를 만나고, 가을 학기 개강에 맞춰 파리로 돌아가는 길이다. 셀린느는 옆자리의 독일인 부부가 시끄럽게 말다툼하는 소리를 피해 뒷좌석으로 자리를 옮기는데, 거기서 제시라는 미국인 청년과 우연히 얘기를 나누게 된다. 우연히 만난 그들은 짧은 시간에 서로에게 빠져든다. 그림 같은 도시와 꿈같은 대화 속에서 발견한 서로를 향한 강한 이끌림은 풋풋한 사랑으로 물들어 간다. 밤새도록 계속된 그들의 사랑 이야기 끝에 해가 떠오르기 시작하고 그들은 헤어져야만 하는데...",8.1 (315k),15
119,다운튼 애비 2,"드라마, 로맨스",(2022),"크롤리 일가와 충실한 하인들이 다운튼에서 무성 영화를 촬영하고 프랑스 남부에서 새로운 모험을 시작하며, 호화롭고 화려한 장면이 펼쳐진다.",7.4 (24k),12+
120,해리 포터와 잉크 마법사의 여행,다큐멘터리,(2020),"해리 포터를 테마로 한 최초의 타투 컨벤션 '리터러리 잉크' 테네시 주에서 개최된 이 컨벤션에 참가하기 위해 전 세계 70여 명 이상의 타투이스트들이 모였다. 해리 포터라는 공통된 관심사로 뭉친 이들이 컨벤션을 개최하기까지의 과정을 담아낸 영화는 타투 컨벤션에 참가한 다양한 타투이스트들의 이야기와 삶, 꿈에 대해 듣는다.",8.1,15+
121,헝거게임: 캣칭 파이어,"액션, SF, 스릴러, 드라마",(2013),"헝거게임의 우승으로 독재국가 판엠의 절대권력을 위협하는 존재가 된 캣니스, 혁명의 불꽃이 된 그녀를 제거하기 위해 캐피톨은 75회 스페셜 헝거게임의 재출전을 강요한다. 역대 최강의 우승자들이 모인 헝거게임에 참가하게 된 캣니스는 판엠의 음모 속에서 적인지 동료인지 알 수 없는 막강한 도전자들과 맞닥뜨린다. 모두의 운명을 걸고 살아남아야 하는 캣니스, 그녀와 함께 혁명의 불꽃이 시작된다.",7.5 (674k),15
122,멜랑콜리아,"드라마, Made in Europe, SF",(2011),카피라이터인 저스틴은 마이클과 결혼식을 올리지만 우울증으로 인한 이상 행동으로 결혼을 망치고 만다. 저스틴은 언니 클레어의 집에서 함께 살게 되고 클레어는 저스틴을 극진히 보살핀다. 한편 멜랑콜리아라는 이름의 거대한 행성이 지구를 향해 날아오고 클레어는 종말에 대한 두려움을 느끼지만 과학을 맹신하는 남편 존으로 인해 내색은 하지 못한다. 갈수록 이상 행동을 보이는 저스틴과 최악의 사태를 대비하는 클레어. 다행히 과학자들의 말대로 멜랑콜리아는 지구를 지나쳐 다시 멀어지는데...,7.2 (178k),15
123,그녀,"드라마, SF, 로맨스",(2014),"테오도르는 다른 사람들의 편지를 대신 써주는 대필 작가로, 깊이 아꼈던 아내와 이혼 소송 중이다. 타인의 마음을 전해주는 일을 하고 있지만, 정작 테오도르 자신은 너무 외롭고 공허한 삶을 살고 있다. 그러던 어느 날, 스스로 생각하고 느끼는 인공 지능 운영체제인 사만다를 만나게 된다. 사만다는 따뜻한 목소리와 뛰어난 전산처리 능력을 통해 테오도르가 더 편안한 삶을 살 수 있도록 돕고, 테오도르는 자신의 육체를 통해 사만다가 더 많은 세계를 경험할 수 있도록 격려한다. 그렇게 둘은 직접적인 접촉보다 밀도 높은 정신적 교감을 나누는데...",8.0 (626k),15
124,맨 인 블랙,"코미디, SF, 액션",(1997),뉴욕 경찰 에드워드(윌 스미스)는 용의자를 추적 중 그가 건물을 기어오르고 허공을 떠오르는 등의 장면을 목격한다. 용의자는 지구가 멸망할 것이라 주장하며 투신 자살을 하고 에드워드는 검은 양복을 입은 MIB요원 캐이(토미 리 존스)를 만난다. 캐이는 에드워드의 탁월한 능력을 알아차리고 그를 비밀 요원으로 발탁한다. MIB는 지구인의 모습으로 살고 있는 외계인들을 감시하고 외계인의 정체를 보호하며 혹시라도 일반인이 그들이 외계인임을 알아차리면 기억 말소 장치를 이용해 외계인들을 보호한다. 그러나 사악한 바퀴벌레 외계인 에드가가 지구에 침투해 오면서 이민외계인들은 불안해 하는 등 동요하기 시작한다. 이 때 지구를 방문한 외교 사절이 암살당하는 사건이 발생해 은하계가 전면전에 돌입하자 지구는 멸망의 위기에 처한다. 지구를 지키고 우주의 평화를 지키기 위해 에드워드와 케이는 에드가와의 결전을 준비하는데...,7.3 (577k),12+
125,아메리칸 파이,"코미디, 로맨스",(1999),"이스트그레이트 폴츠 고등학교(East Great Falls High School) 졸업반이 된 네 녀석들은 지상 최대의 고민에 빠져있다! 도대체 어떻게 하면 '총각 딱지'을 떼어버릴 수 있을까? 결국 졸업하기 전까지는 하늘이 두쪽나도 그걸 떼버리고야 말리라 다짐한 이들은 '성공적인 첫 경험'을 위한 다각적 전술을 세우기 시작한다. 지미(Jim: 제이슨 비그스 분)는 성인 채널, 포르노 사이트, 풍선도 아닌데 불어보는 콘돔. 혼자서 어떻게든 그걸 해결해 보려고 한다. 그러던 중 엄마가 먹으라고 구워놓은 애플파이에 구멍을 뚫어 그걸(?) 하던 중 아빠에게 들키고 만다. 도대체 왜 그랬을가? 하지만 그에게도 나디아(Nadia: 샤논 엘리자베스 분)라는 여학생이 숙제를 도와달라며 기회가 찾아온다. 케빈(Kevin: 토마스 이안 니콜라스 분)은 사랑보다는 섹스라는 구체적인 말을 더 믿는다. 오랜 여자 친구 비키(Victoria 'Vicky': 타라 레이드 분)와 항상 가다가 마는, 결국은 아직까지 한번도 제대로 해보지 못한 미완의 커플. 어떻게든 성공적으로 해보고 싶은 케빈은 섹스의 백과사전이랄 수 있는 섹스 바이블을 입수하는데. 미식축구 선수 오즈(Chris ""Oz"" Ostreicher: 크리스 클레인 분)는 노바, 일명 카사노바로 자칭하지만 실제로는 근처에도 가보지 못했다. 우연히 아카펠라 합창단원인 헤더(Heather: 메나 수바리 분)에게 첫눈에 반해 덩달아 합창단에 들어가게 된다. 그러나 요조 숙녀 헤더는 오즈와 친구들의 외설스런 대화를 듣고 실망하는데. 결벽증이 있는 핀치(Finch: 에디 케이 토마스 분)는 늘 그것(?) 보다는 커피와 카푸치노의 차이에 대해 열변을 토하는 술취한 철학자. 평소 섹스엔 전혀 관심없는 척 하던 그는 작전돌입 후 여학생들에게 자기의 그것(?)이 가장 크다는 소문을 내어 호기심을 유발시키려하는데...",7.0 (413k),15+
126,셔터 아일랜드,"드라마, 스릴러",(2010),"보스턴 셔터아일랜드의 정신병원은 중범죄를 저지른 정신병자를 격리하는 병동으로 탈출 자체가 불가능하다. 하지만 자식 셋을 죽인 혐의를 받고 있는 여인이 이상한 쪽지만을 남긴 채 감쪽같이 사라지는 사건이 발생한다. 연방보안관 테디 다니엘스(레오나르도 디카프리오)는 수사를 위해 동료 척(마크 러팔로)과 함께 셔터아일랜드로 향한다. 테디는 수사를 위해 의사, 간호사, 병원관계자 등을 심문하지만 수사는 전혀 진척되지 않는다. 설상가상 폭풍이 불어 닥쳐 테디와 척은 섬에 고립되게 되고, 그들에게 점점 괴이한 일들이 일어나기 시작하는데...",8.2 (1m),15
127,로스트 인 더스트,"범죄, 스릴러, 서부, 드라마, 액션",(2016),"빚더미에 시달리던 두 형제, 토비(크리스 파인)과 태너(벤 포스터). 가족의 유일한 재산이자, 어머니의 유산인 농장의 소유권 마저 은행 차압위기에 놓이게 된다. 절망적인 현실에서 가족을 지키기 위해 연쇄 은행 강도 계획을 꾸미는 형제. 동생을 위해서라면 어떠한 일도 서슴지 않는 전과자 출신의 형 태너와 차분하고 이성적인 성격의 동생 토비는 범죄에 성공한다. 한편, 연달아 발생한 은행강도 사건을 수사하던 베테랑 형사 해밀턴(제프 브리지스)은 치밀한 범죄 수법을 본능적으로 직감하고 수사망을 좁혀 그들을 추격하기 시작하는데..""",7.6 (236k),15+
128,내가 널 사랑할 수 없는 10가지 이유,"드라마, 로맨스, 코미디",(1999),"상냥하고 얼굴도 예쁜 비앙카는 인기 만점의 여학생이다. 하지만 아직까지 한 번도 데이트를 해본 적이 없다. 아버지가 고교 졸업 전까지는 이성교제를 엄금했기 때문이다. 하나뿐인 언니 캣이 공동전선을 펴서 아빠를 좀 설득해주면 좋으련만, 캣은 남자 친구 따위는 관심도 없다는 투다. 그런데, 최근에 이성교제에 대한 아빠의 규칙이 약간 바뀌었다. 캣이 남자친구를 사귀면 비앙카도 데이트를 할 수 있다는 것. 이 소식을 듣고 희망에 부푼 사람은 비앙카 뿐이 아니었다. 전학 온 첫 날, 비앙카를 보고 한 눈에 반해버린 카메론은 오직 그녀를 만나고 싶다는 일념으로 비앙카와 함께 프랑스어 스터디를 하고 있었다. 카메론은 친구 마이클의 도움을 받아 캣과 교제할 사람을 찾아나선다. 캣의 오만함과 독설에 나가떨어지지 않고 그녀를 상대해줄 만한 사람이어야 했다. 이들이 점찍은 남학생은 패트릭. 독특한 호주 액센트를 구사하는 아웃사이더로서 암거래 조직의 일원이라는 둥, 화재 사건의 범인이라는 둥, 그를 둘러싼 소문은 무성했지만, 아무도 가까이 접근하지 못하는 미스터리의 터프 가이였다. 이런 패트릭이 카메론의 사랑에 감격해서 자발적으로 캣과 데이트를 해줄 리는 만무하므로, 두 사람은 그를 매수하기로 한다. 이를 위한 물주로 떠오른 이는 죠이. 학생이자 모델인 그는 빨간 스포츠카를 몰고 다니는 인기 만점의 남학생으로 돈 많고, 체격 좋고, 잘생겼지만, 머리에 든 것도 별로 없고 우쭐대기만 하는 속물인데, 오래전부터 비앙카에게 눈독을 들이고 있었다. 마이클은 캣에게 남자친구가 생기면 비앙카와 데이트할 수 있다는 정보를 슬쩍 흘리며 죠이로하여금 패트릭을 매수하도록 부추겼다. 일은 착착 진행되어, 드디어 패트릭이 캣과 함께 파티에 참석하는데 성공한다. 만남이 잦아지면서 서로의 참모습을 알게 된 두 사람은, 다른 이들의 의도와는 상관없이 정말로 사랑에 빠지지만...",7.3 (351k),15
129,셔터,"공포, 스릴러",(2004),"25살의 사진작가 '턴'과 그의 여자친구 '제인'. 대학동창의 결혼식에 다녀오던 길에 한 여자를 차로 치고 만다. 두려움에 뺑소니를 치고 마는 그들... 다음날, '턴'은 자신이 찍은 사진 속에서 형체를 구분하기 어려운 무언가를 발견하기 시작한다. 두려움의 원인을 찾아 결국 사고 현장을 다시 찾게 되는 그들. 그러나 그 도로 위에선 어떤 사건 사고도 보고된 바 없다! 점점 더 혼란과 공포 속으로 빠져드는 '턴'과 '제인'. 뿐만 아니라 '턴'의 대학동창들은 하나 둘 의문의 자살을 시작하는데... 턴과 제인은 의문의 사진들이 찍힌 현장을 찾아 다시 셔터를 누르기 시작한다. 그리고 사진 속 '그것'이 그들에게 무언가를 말하려 한다는 것을 깨닫게 된다! 그들은 언제나 당신 옆에 있다... 당신이 원하건 원하지 않건 그들은 바로 당신 곁에 서서 당신에게 무언가를 말하고 있다!!!",7.0 (46k),15
130,"아이, 로봇","액션, SF, 스릴러, 드라마, 범죄",(2004),"2035년, 인간은 지능을 갖춘 로봇에게 생활의 모든 편의를 제공받으며 편리하게 살아가게 된다. 인간의 안전을 최우선으로 하는 로봇 3원칙이 내장된 로봇은 인간을 위해 요리하고 아이들을 돌보며 없어서는 안될 신뢰 받는 동반자로 여겨진다. NS-4에 이어 더 높은 지능을 가진 로봇 NS-5의 출시를 하루 앞둔 어느 날, NS-5의 창시자인 래닝 박사가 의문의 죽음을 맞이한다. 그의 죽음을 둘러싼 수많은 추측이 난무한 가운데, 시카고 경찰 델 스프너(윌 스미스)는 자살이 아니라는데 확신을 갖고 조사에 착수한다. 끔찍한 사고 이후 로봇에 대한 적대감을 갖고 있던 그는 이 사건 역시 로봇과 관련이 있다고 믿고 숨은 음모를 파헤치는데...",7.1 (549k),12+
131,폴링 다운,"범죄, 드라마, 스릴러, 액션, Made in Europe",(1993),"1991년, 그 해 가장 더운 날 아침, 로스엔젤레스 시내로 들어가는 고속도로는 교통체증으로 꼼짝도 하지 않고 있다. 직장에서 쫓겨나고 아내와 어린 딸로부터 멀어진 디펜스는 자신의 이름을 따 개인용 번호판을 단 차 안에서 극도로 신경이 날카로워 있다가 파리가 윙윙거리며 날고 있는 모습을 보다가 갑자기 솟아오르는 짜증을 견디지 못하고 차에서 내려 도로를 따라 걷기 시작한다. 그는 끓어오르는 짜증과 무엇엔가에 대한 분노를 가라앉히지 못하고 계속 폭력을 사용해 자기 자신을 파멸시키기 시작한다. 한편 은퇴를 준비하는 경찰 마틴 프랜더게스트는 디펜스의 폭력을 저지시키기 위해 필사적으로 그를 추적하기 시작한다.",7.6 (194k),15
132,공각기동대,"애니메이션, SF, 액션, 스릴러, 범죄, 드라마",(1995),"때는 서기 2029년, 아시아의 뉴포트라는 도시. 인간의 뇌도 통신 네트워크의 일부가 된 사회에서 가장 극악한 범죄는 고스트 해킹이다. 인간의 정체성을 규명하는 광의의 영혼을 뜻하는 고스트를 해킹해 타인의 기억 등을 조작하고 변경시키는 것. 인형사라 불리는 정체불명의 악명 높은 고스트 해커가 유럽에서 뉴포트로 주활동 무대를 옮겼다는 소식이 들린다. 이를 막기 위해 외교상 일어나는 국제범죄, 테러 등에 대해 정보수집과 감사를 행하는 정보기관 공안 6과와 쿠사나기 모토코 소령을 중심으로 한 공안 9과는 조사에 나선다",8.0 (138k),12+
133,헝거게임: 판엠의 불꽃,"판타지, SF, 액션, 스릴러",(2012),"12개의 구역으로 이루어진 독재국가 판엠이 체제를 유지하기 위해 만든 생존 전쟁 헝거게임. 일년에 한번 각 구역에서 추첨을 통해 두 명을 선발, 총 24명이 생존을 겨루게 되는 것. 헝거게임의 추첨식에서 캣니스는 어린 여동생의 이름이 호명되자 동생을 대신해 참가를 자청하며 주목을 받는다. 과거 자신을 위기에서 구해줬던 피타 역시 선발되어 미묘한 감정에 휩싸인다. 캣니스는 금지구역에서 함께 사냥했던 게일에게 가족을 부탁하며 생존을 겨루게 될 판엠의 수도 캐피톨로 향하는데...",7.2 (930k),15
134,설국열차,"드라마, 액션, SF, 스릴러, Made in Europe",(2013),"기상 이변으로 모든 것이 꽁꽁 얼어붙은 지구, 살아남은 사람들을 태운 기차 한 대가 끝없이 궤도를 달리고 있다. 춥고 배고픈 사람들이 바글대는 빈민굴 같은 꼬리칸, 그리고 선택된 사람들이 술과 마약까지 즐기며 호화로운 객실을 뒹굴고 있는 앞쪽칸. 열차 안의 세상은 결코 평등하지 않다. 기차가 달리기 시작한 17년째, 꼬리칸의 젊은 지도자 커티스는 긴 세월 준비해 온 폭동을 일으킨다. 기차의 심장인 엔진을 장악하고 기차 전체를 해방시키기 위해 절대권력자 윌포드가 도사리고 있는 엔진 칸을 향해 질주하는 커티스와 꼬리칸 사람들. 그들 앞에 예기치 못한 상황들이 기다리고 있는데...",7.1 (367k),15
135,마이너리티 리포트,"스릴러, 액션, 범죄, SF",(2002),"2054년 워싱턴, 범죄를 예측하는 치안 시스템 프리크라임은 시민들의 안전을 지켜주는 든든한 존재. 프리크라임은 범죄가 일어날 시간과 장소, 범행을 저지를 사람까지 예측해내고, 이를 바탕으로 특수경찰이 미래의 범죄자들을 체포한다. 프리크라임 팀장인 존 앤더튼(톰 크루즈)은 천부적인 감각으로 미래의 범죄자를 추적해내는 능력을 인정받고 있다. 하지만 프리크라임 시스템은 믿을 수 없는 살인을 예견한다. 그것은 바로 앤더튼 자신이 누군가를 살해하는 범행 장면. 프리크라임의 모든 시스템이 앤더튼을 추격하는 가운데 앤더튼은 음모를 파헤치고 미래를 바꾸기 위해 직접 미래의 피살자를 찾아나선다.",7.6 (560k),15
136,덤 앤 더머,코미디,(1994),"죽마고우인 로이드(Lloyd Christmas: 짐 캐리 분)와 해리(Harry Dunne: 제프 다니엘스 분)는 둘다 좀 모자라는 빈털털이 노총각으로 돈을 모아 함께 애완 동물 가게를 하는 것이 꿈이다. 운전기사로서 어느날 미녀 매리(Mary Swanson: 로렌 홀리 분)를 공항까지 태우고 가던 로이드는 매리가 공항에 두고 간 가방을 주워서 돌려 주려다가 정체 불명의 괴한들에게 미행을 당하게 된다. 그 가방은 납치당한 매리 남편 바비(Bobby: 브래드 로커맨 분)의 몸값으로 납치범에게 전하려고 매리가 공항에 갖다 두었던 것이었다. 로이드와 해리는 매리에게 가방을 전해주기 위해 아스펜까지 장거리 여행을 하게 되는데 멍청한 로이드가 길을 잘못 드는 바람에 여비까지 떨어져 싸움이 벌어지게 된다. 싸움 끝에 해리가 가방을 집어 던지자, 열린 가방 속에 현금이 가득 들어있다. 두 사람은 평생 처음으로 실컷 돈을 쓰면서 부자집 귀공자 노릇도 해본다. 마침내 아스펜에 도착한 두 사람 매리에게 가까이 다가가는데 성공하지만 로이드가 매리를 사랑한다면서 해리에게 중매를 부탁하는 바람에 일은 한차례 더 꼬이게 되는데...",7.3 (392k),15+
137,팜 스프링스,"판타지, 로맨스, 코미디, SF",(2020),"팜 스프링스에서 열리는 결혼식에서 온 만사 태평 나일스와 신부 들러리 사라. 둘은 처음 본 그 순간부터 서로에게 반하며 급격히 사랑에 빠집니다. 피로연에서 몰래 빠져 나온 둘은 별로 으슥하지 않은 해변에서 만리장성을 쌓으려는 바로 그 순간, 알수없는 자가 쏜 화살에 맞고 쫓기는 신세가 되는데... 이젠 죽는구나 하는 그 순간, 둘은 그날 아침으로 타임루프하게 되는데...",7.4 (165k),15
138,라쇼몽,"스릴러, 드라마, 범죄",(1950),"전란이 난무하는 헤이안 시대, 폭우가 쏟아지는 라생문의 처마 밑에서 나뭇꾼과 스님이 심각한 표정으로 생각에 잠겨 있다. 잠시 비를 피하러 그곳에 들른 한 남자. 이들은 이 남자를 상대로 최근에 그 마을에 있었던 기묘한 사건을 들려준다. 사건의 배경은 녹음이 우거진 숲 속. 사무라이 타케히로가 자신의 아내 마사코와 함께 숲 속을 지나고 있었다. 산적 타조마루는 그들 앞에 나타나 속임수로 타케히로를 포박하고 마사코를 겁탈한다. 오후에 그 숲에 들어선 나뭇꾼은 타케히로의 가슴에 칼이 꽂혀있는 것을 발견하고 관청에 신고한다. 타조마루는 체포되고, 행방이 묘연했던 마사코도 불려와 관청에서 심문이 벌어지는데...",8.2 (170k),15+
139,카사블랑카,"드라마, 전쟁, 로맨스",(1943),"2차 대전으로 어수선한 프랑스령 모로코, 미국인인 릭(험프리 보가트)은 암시장과 도박이 판치는 카사블랑카에서 카페를 운영하고 있다. 어느 날 미국으로 가기 위해 비자를 기다리는 피난민들 틈에 섞여 레지스탕스 리더인 라즐로(폴 헨라이드)와 아내 일자(잉그리드 버그만)이 릭의 카페를 찾는다. 일자는 릭의 옛 연인이었다. 라즐로는 릭에게 미국으로 갈 수 있는 통행증을 부탁하지만 아직도 일자를 잊지 못하는 릭은 선뜻 라즐로의 청을 들어주지 못한다. 경찰서장 르노와 독일군 소령 스트라세는 라즐로를 쫓아 릭의 카페를 찾고, 결국 릭은 라즐로와 함께 일자를 떠나보내는데...",8.5 (577k),12+
140,007 카지노 로얄,"액션, 스릴러, Made in Europe",(2006),"MI6의 평범한 요원이던 제임스 본드. 체코에서의 암살 임무를 마치고 007로 승격된 그에게 첫번째 임무가 주어진다. 국제 테러조직의 자금줄로 알려진 수수께끼의 인물 르쉬프의 배후를 밝혀내는 것. 마다가스카에서 작전을 수행하던 007은 르쉬프가 몬테카를로의 카지노 로얄에서 무제한 배팅이 가능한 홀뎀 포커를 통해 테러자금을 모으려는 음모를 알아낸다. MI6의 상관 M은 제임스 본드의 위장 잠입과 자금 관리를 위해 베스퍼 린드를 파견하고, 서로의 능력을 의심하던 두 사람 사이에는 팽팽한 긴장감이 감돌지만 테러조직의 위협을 함께 겪으며 차츰 애틋한 연인관계로 발전한다.",8.0 (665k),15
141,매드니스,"공포, 스릴러, 드라마, 판타지",(1995),작가 서터 케인은 알케인 출판사 전속작가로 이 출판사에 수십억 달러를 벌어들이게 한 일등공신. 여기서 출간한 단 6편의 작품으로 그의 책은 이미 세계 18개국의 언어로 번역돼 각광받고 있다. 그리고 이제 그의 열성독자들은 그의 마지막 소설이 될 '광염 속으로(In the Mouth of Madness)'를 미치광이처럼 기다리고 있었는데...,7.1 (72k),15
142,에이리언 2,"스릴러, SF, 액션, 공포",(1986),"에일리언과의 싸움에서 간신히 살아남은 리플리는 잠든 채로 57년을 떠돌다 구조선에 의해 구출된다. 회사는 리플리를 비롯한 당시 승무원들이 노스트로모호를 잃어버린 것을 추궁하지만 에이리언 얘기는 믿지 않는다. 이때 지구와 한 혹성 거주민들의 통신이 두절되는 사건이 벌어지자 리플리는 고문 자격으로 해병대와 동행하게 된다. 혹성에 도착한 해병대원들은 곧 혹성 거주민들이 에일리언 유충의 산 먹이로 된 것을 목격하고, 곧이어 벌어진 교전에서 여러 대원들을 잃는다. 그들은 혹성 거주민들의 실험실로 대피하고, 리플리는 이곳에서 마지막 생존자인 뉴트를 발견하게 된다.",8.4 (725k),12+
143,마녀,"액션, SF, Made in Europe",(2018),"10년 전 의문의 사고가 일어난 시설에서 홀로 탈출한 후 모든 기억을 잃은 자윤. 나이도, 이름도 모르는 자신을 거두고 키워준 노부부의 보살핌으로 씩씩하고 밝은 여고생으로 자라났다. 어려운 집안사정을 돕기 위해 상금이 걸린 오디션 프로그램에 출연한 자윤, 방송이 나간 직후부터 의문의 인물들이 그녀 앞에 나타난다. 자윤의 주변을 맴돌며 날카롭게 지켜보는 남자 귀공자, 그리고 과거 사고가 일어난 시점부터 사라진 아이를 찾던 닥터 백과 미스터 최까지 자신은 전혀 기억하지 못하는 그들의 등장으로, 자윤은 혼란에 휩싸이게 되는데...",7.1 (14k),15
144,크리드 3,"드라마, 스포츠",(2023),"록키의 후계자인 크리드는 월드 챔피언으로 권투계를 장악한 후 완벽한 삶을 살던 중 과거 친형제 같았던 데미안과 재회한다. 오랜 시간 감옥 생활을 마치고 나온 데미안은 그가 꿈꾸던 인생을 사는 크리드와 충돌하며 그의 모든 것을 빼앗으려 하고, 크리드는 이에 맞서 자신의 미래를 지키기 위한 일생일대의 대결을 준비하는데…",7.4 (13k),15
145,독타운의 제왕들,"드라마, 스포츠, Made in Europe",(2005),"1970년대 중반, 캘리포니아 주 베니스. 문을 닫은 휴양지 퍼시픽 오션 파크에서 파도타기를 즐기던 '독타운' 출신의 10대들이 제파이어 스케이트 팀(일명 Z-보이스)에 합류한다. 파도타기를 스케이트보드에 응용하는 등 하루종일 새로운 스케이트보드 타기 기술 개발에 열중하는 Z-보이스는 인근 지역의 새로운 화제로 떠오르고 매스컴과 프로모터들로부터 주목을 받는다. 과연 이들의 우정은 자신들의 열정이 비즈니스화되었을 때도, 그리고 자신들이 소위 말하는 '유명인사'가 되었을 때도 유지될 수 있을까?",7.1 (56k),15+
146,캡틴 필립스,"드라마, 스릴러, 액션, 범죄",(2013),"소말리아 인근 해상, 리차드 필립스 선장이 이끄는 화물선 앨라배마 호가 해적의 공격을 받는 사건이 발생한다. 필립스 선장은 순간의 기지로 해적들의 1차 공격을 막는데 성공하지만 해적들은 곧 앨라배마 호를 점령한다. 선원들을 대피시킨 채 홀로 해적들과 대치하는 필립스 선장. 숨막히는 경계와 팽팽한 심리전 속 필립스 선장은 19인 선원들을 대신하여 홀로 해적들의 인질이 되는데…",7.8 (468k),15
147,조디악,"범죄, 스릴러, 드라마",(2007),"1969년 8월, 샌프란시스코의 신문사들에 조디악이라 자칭하는 연쇄살인범의 편지가 배달된다. 자신이 저지른 살인을 상술한 그 편지는 동봉한 암호문을 신문에 싣지 않으면 추가살인을 저지르겠다는 경고로 끝난다. 편지와 암호문이 공개되자 샌프란시스코 일대는 충격에 휩싸인다. 형사인 데이빗(마크 러팔로)과 빌(앤서니 에드워즈), 신문사 샌프란시스코 크로니클의 사건 기자 폴(로버트 다우니 주니어)은 전력을 기울여 각각 사건 해결과 추리에 나선다. 그러나 가장 끈질지게 사건의 실마리를 찾아 헤매는 사람은 경찰도 기자도 아닌, 시사만평가 로버트(제이크 질렌홀)이다.",7.7 (553k),15
148,맨 인 더 다크,"스릴러, 공포, 범죄",(2016),"10대 빈집 털이범 록키, 알렉스, 머니는 밑바닥 삶을 청산하기 위해 눈 먼 노인을 겨냥한 마지막 한 탕을 준비한다. 노인이 잠 든 사이 거액의 현금을 쟁취하려던 순간 마침내 그가 깨어나게 되고, 이들의 치밀한 계획은 아무것도 보이지 않는 암전 속에서 모두 역전되기 시작하는데…",7.1 (281k),15+
149,데어 윌 비 블러드,드라마,(2008),"은을 찾아 땅속으로 내려갔다 올라오길 반복하는 남자 다니엘 플레인뷰는 갑작스런 사고로 다리를 다친다. 이후 그는 또 다른 사고로 목숨을 잃은 동료의 아들과 함께 산다. 석유가 있는 곳을 찾아 미국의 서부를 오가는 그는 리틀 보스턴에 석유가 있다는 엘라이의 제보에 아들과 함께 리틀 보스턴으로 향한다. 리틀 보스턴은 목사 엘라이를 중심으로 한 광신도적 교인들이 주민의 대부분이다. 다니엘은 주민들의 반대에 부딪히며 땅을 사고, 유정탑을 쌓으며, 배송관을 만들어 석유 발굴에 나서는데...",8.2 (594k),15
150,모범시민,"드라마, 스릴러, 범죄, 액션",(2009),"어느 날 갑자기 들이닥친 괴한들에 의해 아내와 딸이 무참하게 살해당한 클라이드. 범인들은 곧 잡히지만 담당검사 닉은 불법적인 사법거래로 그들을 풀어주고 만다. 이에 분노한 클라이드는 범인들과 그들을 보호한 정부를 향해 거대한 복수를 준비하기 시작한다. 10년 후, 클라이드 가족 살인사건의 범인이 잔혹하게 살해되고 그 살인범으로 클라이드가 지목된다. 기다렸다는 듯이 순순히 유죄를 인정하고 감옥에 들어가는 클라이드. 그런데 클라이드가 감옥에 수감되자마자 도시는 그가 경고한대로 연일 처참한 살인사건과 대형 폭파 사건으로 혼란에 빠진다. 당황한 닉은 온갖 사법수단을 동원하지만 그의 거침없는 복수행각을 막을 수가 없는데...",7.4 (303k),15
